date,state,cases,deaths
2020-07-16,BA,116373,2693
2020-07-17,BA,118657,2738
2020-07-18,BA,120238,2793
2020-07-19,BA,122169,2840
2020-07-20,BA,123292,2891
2020-07-21,BA,126844,2936
2020-07-22,BA,133245,2988
2020-07-23,BA,138358,3044
2020-07-24,BA,142767,3096
2020-07-25,BA,146399,3140
2020-07-26,BA,148179,3182
2020-07-27,BA,149109,3227
2020-07-28,BA,153313,3270
2020-07-29,BA,157334,3321
2020-07-30,BA,161630,3391
2020-07-31,BA,166154,3463
2020-08-01,BA,168926,3517
2020-08-02,BA,170476,3572
2020-08-03,BA,171391,3624
2020-08-04,BA,175390,3678
2020-08-05,BA,179738,3736
2020-08-06,BA,183691,3789
2020-08-07,BA,187893,3843
2020-08-08,BA,191401,3899
2020-08-09,BA,193029,3953
2020-08-10,BA,194097,4011
2020-08-11,BA,198767,4067
2020-08-12,BA,203020,4135
2020-08-13,BA,206955,4202
2020-08-14,BA,210993,4271
2020-08-15,BA,214379,4338
2020-08-16,BA,216030,4406
2020-08-17,BA,217115,4475
2020-08-18,BA,221041,4542
2020-08-19,BA,224659,4611
2020-08-20,BA,228596,4685
2020-08-21,BA,229743,4757
2020-08-22,BA,234204,4832
2020-08-23,BA,236050,4905
2020-08-24,BA,237208,4981
2020-08-25,BA,240939,5051
2020-08-26,BA,245021,5116
2020-08-27,BA,247853,5178
2020-08-28,BA,250977,5243
2020-08-29,BA,254790,5302
2020-08-30,BA,256062,5344
2020-08-31,BA,256727,5397
2020-09-01,BA,259418,5448
2020-09-02,BA,262299,5502
2020-09-03,BA,265739,5549
2020-09-04,BA,268137,5590
2020-09-05,BA,270177,5627
2020-09-06,BA,271255,5658
2020-09-07,BA,271963,5693
2020-09-08,BA,272814,5734
2020-09-09,BA,275088,5774
2020-09-10,BA,277327,5818
2020-09-11,BA,279509,5866
2020-09-12,BA,281665,5912
2020-09-13,BA,282517,5961
2020-09-14,BA,283235,5999
2020-09-15,BA,285448,6040
2020-09-16,BA,287685,6085
2020-09-17,BA,289655,6132
2020-09-18,BA,292019,6181
2020-09-19,BA,294210,6221
2020-09-20,BA,295303,6265
2020-09-21,BA,295996,6313
2020-09-22,BA,297805,6359
2020-09-23,BA,299415,6408
2020-09-24,BA,301248,6455
2020-09-25,BA,303058,6503
2020-09-26,BA,305186,6552
2020-09-27,BA,306036,6599
2020-09-28,BA,306629,6648
2020-09-29,BA,308252,6697
2020-09-30,BA,310526,6744
2020-10-01,BA,312050,6795
2020-10-02,BA,313404,6844
2020-10-03,BA,314711,6890
2020-10-04,BA,315440,6925
2020-10-05,BA,316005,6953
2020-10-06,BA,318147,6985
2020-10-07,BA,319981,7021
2020-10-08,BA,321798,7049
2020-10-09,BA,323210,7075
2020-10-10,BA,324964,7099
2020-10-11,BA,325957,7128
2020-10-12,BA,326634,7159
2020-10-13,BA,327327,7188
2020-10-14,BA,329787,7214
2020-10-15,BA,331362,7243
2020-10-16,BA,332898,7267
2020-10-17,BA,334697,7288
2020-10-18,BA,335351,7316
2020-10-19,BA,336232,7342
2020-10-20,BA,337994,7363
2020-10-21,BA,339215,7384
2020-10-22,BA,340665,7407
2020-10-23,BA,342526,7432
2020-10-24,BA,344014,7453
2020-10-25,BA,344705,7475
2020-10-26,BA,345949,7497
2020-10-27,BA,347721,7519
2020-10-28,BA,349711,7546
2020-10-29,BA,351277,7571
2020-10-30,BA,352700,7600
2020-10-31,BA,353157,7622
2020-11-01,BA,354043,7645
2020-11-02,BA,354576,7667
2020-11-03,BA,354983,7690
2020-11-04,BA,355753,7711
2020-11-05,BA,359130,7731
2020-11-06,BA,361136,7754
2020-11-07,BA,362563,7776
2020-11-08,BA,363146,7796
2020-11-09,BA,363986,7818
2020-11-10,BA,365941,7838
2020-11-11,BA,367669,7859
2020-11-12,BA,369259,7882
2020-11-13,BA,371378,7902
2020-11-14,BA,372727,7922
2020-11-15,BA,374009,7943
2020-11-16,BA,374721,7967
2020-11-17,BA,375374,7989
2020-11-18,BA,377445,8013
2020-11-19,BA,380294,8038
2020-11-20,BA,382164,8061
2020-11-21,BA,383945,8081
2020-11-22,BA,384903,8102
2020-11-23,BA,386321,8123
2020-11-24,BA,387786,8143
2020-11-25,BA,390909,8165
2020-11-26,BA,392381,8185
2020-11-27,BA,394300,8207
2020-11-28,BA,398504,8227
2020-11-29,BA,401419,8247
2020-11-30,BA,403071,8268
2020-12-01,BA,406189,8293
2020-12-02,BA,409417,8315
2020-12-03,BA,412685,8336
2020-12-04,BA,416734,8360
2020-12-05,BA,419044,8388
2020-12-06,BA,423124,8418
2020-12-07,BA,424704,8445
2020-12-08,BA,428034,8474
2020-12-09,BA,431786,8502
2020-12-10,BA,436662,8531
2020-12-11,BA,440545,8561
2020-12-12,BA,443465,8589
2020-12-13,BA,444661,8610
2020-12-14,BA,447126,8635
2020-12-15,BA,451240,8665
2020-12-16,BA,456106,8691
2020-12-17,BA,461026,8720
2020-12-18,BA,464083,8748
2020-12-19,BA,468003,8777
2020-12-20,BA,469660,8807
2020-12-21,BA,471177,8835
2020-12-22,BA,473865,8865
2020-12-23,BA,476955,8893
2020-12-24,BA,479553,8924
2020-12-25,BA,480764,8954
2020-12-26,BA,482113,8983
2020-12-27,BA,483737,9011
2020-12-28,BA,484485,9041
2020-12-29,BA,487691,9072
2020-12-30,BA,490538,9100
2020-12-31,BA,493400,9129
2021-01-01,BA,494684,9159
2021-01-02,BA,495286,9187
2021-01-03,BA,496008,9218
2021-01-04,BA,496823,9246
2021-01-05,BA,499900,9276
2021-01-06,BA,502938,9304
2021-01-07,BA,505918,9333
2021-01-08,BA,508695,9364
2021-01-09,BA,511192,9392
2021-01-10,BA,512841,9424
2021-01-11,BA,513756,9453
2021-01-12,BA,515861,9480
2021-01-13,BA,518955,9512
2021-01-14,BA,523068,9543
2021-01-15,BA,528539,9575
2021-01-16,BA,534371,9606
2021-01-17,BA,537772,9638
2021-01-18,BA,540320,9667
2021-01-19,BA,544324,9697
2021-01-20,BA,549315,9728
2021-01-21,BA,553770,9760
2021-01-22,BA,557900,9794
2021-01-23,BA,562466,9827
2021-01-24,BA,565320,9857
2021-01-25,BA,566743,9886
2021-01-26,BA,570092,9920
2021-01-27,BA,574062,9952
2021-01-28,BA,577707,9987
2021-01-29,BA,581880,10021
2021-01-30,BA,585958,10059
2021-01-31,BA,588106,10097
2021-02-01,BA,589234,10136
2021-02-02,BA,592770,10176
2021-02-03,BA,596140,10216
2021-02-04,BA,599435,10255
2021-02-05,BA,602792,10294
2021-02-06,BA,606062,10334
2021-02-07,BA,607946,10373
2021-02-08,BA,609755,10412
2021-02-09,BA,613339,10452
2021-02-10,BA,616789,10496
2021-02-11,BA,620042,10543
2021-02-12,BA,623678,10610
2021-02-13,BA,627265,10674
2021-02-14,BA,629849,10735
2021-02-15,BA,631645,10798
2021-02-16,BA,635494,10864
2021-02-17,BA,639227,10928
2021-02-18,BA,643244,10995
2021-02-19,BA,647384,11060
2021-02-20,BA,651484,11128
2021-02-21,BA,653335,11191
2021-02-22,BA,655481,11254
2021-02-23,BA,660506,11320
2021-02-24,BA,664904,11388
2021-02-25,BA,669821,11488
2021-02-26,BA,674384,11625
2021-02-27,BA,680904,11729
2021-02-28,BA,684037,11819
2021-03-01,BA,686057,11914
2021-03-02,BA,689454,12028
2021-03-03,BA,694783,12140
2021-03-04,BA,700768,12251
2021-03-05,BA,706375,12353
2021-03-06,BA,710900,12448
2021-03-07,BA,714005,12530
2021-03-08,BA,715418,12632
2021-03-09,BA,720068,12735
2021-03-10,BA,725567,12846
2021-03-11,BA,730542,12961
2021-03-12,BA,735666,13062
2021-03-13,BA,740148,13159
2021-03-14,BA,743064,13239
2021-03-15,BA,744227,13341
2021-03-16,BA,748835,13459
2021-03-17,BA,753584,13589
2021-03-18,BA,758168,13742
2021-03-19,BA,762616,13885
2021-03-20,BA,767134,14000
2021-03-21,BA,768832,14099
2021-03-22,BA,770430,14224
2021-03-23,BA,774491,14357
2021-03-24,BA,779321,14492
2021-03-25,BA,783558,14631
2021-03-26,BA,788296,14786
2021-03-27,BA,791481,14886
2021-03-28,BA,794437,14960
2021-03-29,BA,795505,15050
2021-03-30,BA,799429,15170
2021-03-31,BA,803664,15330
2021-04-01,BA,808461,15472
2021-04-02,BA,811808,15599
2021-04-03,BA,813794,15660
2021-04-04,BA,815649,15710
2021-04-05,BA,817722,15796
2021-04-06,BA,821303,15918
2021-04-07,BA,825015,16107
2021-04-08,BA,828466,16232
2021-04-09,BA,832749,16347
2021-04-10,BA,835962,16445
2021-04-11,BA,839395,16516
2021-04-12,BA,840976,16611
2021-04-13,BA,845080,16713
2021-04-14,BA,848627,16859
2021-04-15,BA,852458,17000
2021-04-16,BA,855871,17134
2021-04-17,BA,859760,17228
2021-04-18,BA,862334,17303
2021-04-19,BA,863764,17371
2021-04-20,BA,868047,17456
2021-04-21,BA,871672,17574
2021-04-22,BA,873832,17687
2021-04-23,BA,877484,17804
2021-04-24,BA,880803,17908
2021-04-25,BA,884044,18003
2021-04-26,BA,885855,18087
2021-04-27,BA,889931,18194
2021-04-28,BA,893276,18298
2021-04-29,BA,897273,18391
2021-04-30,BA,900841,18477
2021-05-01,BA,905113,18561
2021-05-02,BA,907121,18641
2021-05-03,BA,909912,18730
2021-05-04,BA,913020,18812
2021-05-05,BA,916951,18897
2021-05-06,BA,920422,18980
2021-05-07,BA,925001,19071
2021-05-08,BA,928437,19165
2021-05-09,BA,930593,19239
2021-05-10,BA,932031,19320
2021-05-11,BA,936275,19411
2021-05-12,BA,940584,19503
2021-05-13,BA,944724,19624
2021-05-14,BA,948753,19739
2021-05-15,BA,952796,19831
2021-05-16,BA,955350,19894
2021-05-17,BA,957267,19972
2021-05-18,BA,961157,20054
2021-05-19,BA,966268,20131
2021-05-20,BA,971450,20205
2021-05-21,BA,976251,20280
2021-05-22,BA,980712,20363
2021-05-23,BA,983587,20428
2021-05-24,BA,984967,20499
2021-05-25,BA,989909,20606
2021-05-26,BA,995364,20726
2021-05-27,BA,999463,20856
2021-05-28,BA,1003523,20971
2021-05-29,BA,1010166,21074
2021-05-30,BA,1010166,21160
2021-05-31,BA,1012200,21241
2021-06-01,BA,1016480,21329
2021-06-02,BA,1021367,21422
2021-06-03,BA,1025987,21512
2021-06-04,BA,1028518,21609
2021-06-05,BA,1032454,21707
2021-06-06,BA,1035524,21749
2021-06-07,BA,1037924,21829
2021-06-08,BA,1041351,21939
2021-06-09,BA,1048084,22064
2021-06-10,BA,1053031,22194
2021-06-11,BA,1057177,22321
2021-06-12,BA,1062742,22425
2021-06-13,BA,1064747,22513
2021-06-14,BA,1066552,22601
2021-06-15,BA,1071899,22703
2021-06-16,BA,1077784,22822
2021-06-17,BA,1083037,22906
2021-06-18,BA,1088035,23008
2021-06-19,BA,1092772,23104
2021-06-20,BA,1097339,23177
2021-06-21,BA,1099499,23254
2021-06-22,BA,1104545,23354
2021-06-23,BA,1108769,23467
2021-06-24,BA,1112304,23571
2021-06-25,BA,1114392,23660
2021-06-26,BA,1117408,23709
2021-06-27,BA,1119127,23739
2021-06-28,BA,1120408,23817
2021-06-29,BA,1123311,23906
2021-06-30,BA,1124994,24012
2021-07-01,BA,1128432,24105
2021-07-02,BA,1132050,24187
2021-07-03,BA,1135261,24235
2021-07-04,BA,1137167,24259
2021-07-05,BA,1138377,24312
2021-07-06,BA,1141612,24428
2021-07-07,BA,1144464,24495
2021-07-08,BA,1147552,24574
2021-07-09,BA,1152031,24670
2021-07-10,BA,1155841,24742
2021-07-11,BA,1158122,24770
2021-07-12,BA,1159419,24834
2021-07-13,BA,1161932,24910
2021-07-14,BA,1164162,24974
2021-07-15,BA,1165822,25043
2021-07-16,BA,1168377,25108
2021-07-17,BA,1171292,25166
2021-07-18,BA,1173423,25197
2021-07-19,BA,1174613,25250
2021-07-20,BA,1175267,25304
2021-07-21,BA,1178355,25357
2021-07-22,BA,1180732,25410
2021-07-23,BA,1182673,25457
2021-07-24,BA,1184314,25485
2021-07-25,BA,1185439,25504
2021-07-26,BA,1186213,25540
2021-07-27,BA,1187550,25594
2021-07-28,BA,1188967,25630
2021-07-29,BA,1190992,25674
2021-07-30,BA,1192293,25717
2021-07-31,BA,1193689,25750
2021-08-01,BA,1194316,25759
2021-08-02,BA,1194954,25785
2021-08-03,BA,1195507,25828
2021-08-04,BA,1197413,25856
2021-08-05,BA,1199008,25881
2021-08-06,BA,1200275,25907
2021-08-07,BA,1201950,25954
2021-08-08,BA,1202434,25955
2021-08-09,BA,1202820,25983
2021-08-10,BA,1204276,26023
2021-08-11,BA,1205316,26046
2021-08-12,BA,1206678,26070
2021-08-13,BA,1207796,26097
2021-08-14,BA,1208878,26118
2021-08-15,BA,1209429,26128
2021-08-16,BA,1209749,26151
2021-08-17,BA,1210672,26178
2021-08-18,BA,1211625,26199
2021-08-19,BA,1212603,26226
2021-08-20,BA,1213318,26240
2021-08-21,BA,1214324,26260
2021-08-22,BA,1214690,26276
2021-08-23,BA,1215040,26287
2021-08-24,BA,1215884,26307
2021-08-25,BA,1216546,26332
2021-08-26,BA,1217632,26350
2021-08-27,BA,1218650,26379
2021-08-28,BA,1219440,26416
2021-08-29,BA,1219827,26443
2021-08-30,BA,1220168,26466
2021-08-31,BA,1220792,26487
2021-09-01,BA,1221597,26497
2021-09-02,BA,1222427,26510
2021-09-03,BA,1223241,26535
2021-09-04,BA,1223769,26565
2021-09-05,BA,1223979,26572
2021-09-06,BA,1224174,26577
2021-09-07,BA,1224498,26583
2021-09-08,BA,1224668,26597
2021-09-09,BA,1225258,26617
2021-09-10,BA,1225697,26627
2021-09-11,BA,1225697,26633
2021-09-12,BA,1226337,26637
2021-09-13,BA,1226497,26650
2021-09-14,BA,1226941,26677
2021-09-15,BA,1227412,26689
2021-09-16,BA,1227870,26712
2021-09-17,BA,1228507,26742
2021-09-18,BA,1228777,26752
2021-09-19,BA,1229070,26755
2021-09-20,BA,1229200,26771
2021-09-21,BA,1229200,26781
2021-09-22,BA,1230257,26788
2021-09-23,BA,1230812,26798
2021-09-24,BA,1231408,26829
2021-09-25,BA,1231753,26833
2021-09-26,BA,1231985,26836
2021-09-27,BA,1232135,26842
2021-09-28,BA,1232674,26845
2021-09-29,BA,1233244,26851
2021-09-30,BA,1233799,26859
2021-10-01,BA,1234370,26866
2021-10-02,BA,1234812,26870
2021-10-03,BA,1235139,26873
2021-10-04,BA,1235369,26881
2021-10-05,BA,1235722,26886
2021-10-06,BA,1236004,26896
2021-10-07,BA,1236390,26901
2021-10-08,BA,1237493,26909
2021-10-09,BA,1237470,26916
2021-10-10,BA,1237675,26919
2021-10-11,BA,1237779,26925
2021-10-12,BA,1237873,26933
2021-10-13,BA,1238063,26940
2021-10-14,BA,1238652,26950
2021-10-15,BA,1239293,26957
2021-10-16,BA,1239650,26967
2021-10-17,BA,1239893,26968
2021-10-18,BA,1240271,26976
2021-10-19,BA,1240662,26986
2021-10-20,BA,1241122,26992
2021-10-21,BA,1241794,27001
2021-10-22,BA,1242292,27010
2021-10-23,BA,1242821,27017
2021-10-24,BA,1243005,27019
2021-10-25,BA,1243193,27033
2021-10-26,BA,1243641,27042
2021-10-27,BA,1244123,27048
2021-10-28,BA,1244785,27061
2021-10-29,BA,1245437,27070
2021-10-30,BA,1246064,27076
2021-10-31,BA,1246296,27077
2021-11-01,BA,1246439,27080
2021-11-02,BA,1246636,27084
2021-11-03,BA,1246728,27091
2021-11-04,BA,1247344,27101
2021-11-05,BA,1247951,27115
2021-11-06,BA,1248550,27117
2021-11-07,BA,1248855,27119
2021-11-08,BA,1249100,27127
2021-11-09,BA,1249613,27136
2021-11-10,BA,1250129,27150
2021-11-11,BA,1250614,27155
2021-11-12,BA,1251326,27161
2021-11-13,BA,1251866,27171
2021-11-14,BA,1252199,27174
2021-11-15,BA,1252345,27177
2021-11-16,BA,1252627,27181
2021-11-17,BA,1253273,27187
2021-11-18,BA,1253928,27205
2021-11-19,BA,1254647,27221
2021-11-20,BA,1255237,27227
2021-11-21,BA,1255481,27230
2021-11-22,BA,1255653,27241
2021-11-23,BA,1256811,27251
2021-11-24,BA,1257144,27258
2021-11-25,BA,1257612,27270
2021-11-26,BA,1258356,27277
2021-11-27,BA,1258872,27282
2021-11-28,BA,1259286,27284
2021-11-29,BA,1259483,27297
2021-11-30,BA,1260341,27309
